Region,Country,City,mean_PM10,Year,Number and location,Temporal coverage,Reference,,,,,,,,,,,,,,,,,,
,,,ug/m3,, of stations,(%),,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Ibrité,18,2009,1 station,NA,Monitoramento da Qualidade do Ar na Região Metropolitana de Belo Horizonte em 2009,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Médio Paraiba,28,2009,8 stations,NA,Relatorio Annual da Qualidade do Ar do Estado do Rio de Janeiro. http://www.inea.rj.gov.br/downloads/relatorios/qualidade_ar_2009.pdf (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Regiao Estado Sao Paulo (UGRHI 10),28,2009,1 station,NA,2009 Qualidade do Ar No Estado de Sao Paulo. http://www.cetesb.sp.gov.br/ar/qualidade-do-ar/31-publicacoes-e-relatorios (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Regiao Estado Sao Paulo (UGRHI 13),27,2009,3 stations,NA,2009 Qualidade do Ar No Estado de Sao Paulo. http://www.cetesb.sp.gov.br/ar/qualidade-do-ar/31-publicacoes-e-relatorios (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Regiao Estado Sao Paulo (UGRHI 15),28,2009,1 station,NA,2009 Qualidade do Ar No Estado de Sao Paulo. http://www.cetesb.sp.gov.br/ar/qualidade-do-ar/31-publicacoes-e-relatorios (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Regiao Estado Sao Paulo (UGRHI 19),26,2009,1 station,NA,2009 Qualidade do Ar No Estado de Sao Paulo. http://www.cetesb.sp.gov.br/ar/qualidade-do-ar/31-publicacoes-e-relatorios (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Regiao Estado Sao Paulo (UGRHI 2),21,2009,1 station,NA,2009 Qualidade do Ar No Estado de Sao Paulo. http://www.cetesb.sp.gov.br/ar/qualidade-do-ar/31-publicacoes-e-relatorios (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Regiao Estado Sao Paulo (UGRHI 21),21,2009,1 station,NA,2009 Qualidade do Ar No Estado de Sao Paulo. http://www.cetesb.sp.gov.br/ar/qualidade-do-ar/31-publicacoes-e-relatorios (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Regiao Estado Sao Paulo (UGRHI 22),16,2009,1 station,NA,2009 Qualidade do Ar No Estado de Sao Paulo. http://www.cetesb.sp.gov.br/ar/qualidade-do-ar/31-publicacoes-e-relatorios (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Regiao Estado Sao Paulo (UGRHI 4),28,2009,1 station,NA,2009 Qualidade do Ar No Estado de Sao Paulo. http://www.cetesb.sp.gov.br/ar/qualidade-do-ar/31-publicacoes-e-relatorios (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Regiao Estado Sao Paulo (UGRHI 5),39,2009,8 stations,NA,2009 Qualidade do Ar No Estado de Sao Paulo. http://www.cetesb.sp.gov.br/ar/qualidade-do-ar/31-publicacoes-e-relatorios (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,"Regiao Estado Sao Paulo (UGRHI 7), Cubatao)",48,2009,3 stations,NA,2009 Qualidade do Ar No Estado de Sao Paulo. http://www.cetesb.sp.gov.br/ar/qualidade-do-ar/31-publicacoes-e-relatorios (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Região Metropolitana Curitiba,29,2009,"4 stations (1 residential, 1 center, 2 industrial/center) - 2 industrial discarded (although mean did not change much)",NA,"Relatorio da qualidade do ar na regiao metropolitana de Curitiba, 2009, http://www.iap.pr.gov.br/arquivos/File/programas_e_projetos/relatorios/Relatorio_da_Qualidade_do_Ar_na_RMC_2009.pdf, (accessed 2 May 2011).",,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Região Metropolitana Rio Janeiro,64,2009,11 stations,NA,Relatorio Annual da Qualidade do Ar do Estado do Rio de Janeiro. http://www.inea.rj.gov.br/downloads/relatorios/qualidade_ar_2009.pdf (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
AmrLMI,Brazil,Região Metropolitana Sao Paulo,38,2009,20 stations,NA,2009 Qualidade do Ar No Estado de Sao Paulo. http://www.cetesb.sp.gov.br/ar/qualidade-do-ar/31-publicacoes-e-relatorios (accessed 2 May 2011).,,,,,,,,,,,,,,,,,,
